MODUL
MSR310220

CHANNEL
TIME;ACC x;ACC y;ACC z;BAT

UNIT
;g;g;g;V

DATA
19.10.2015 10:03:20.049;-0.516;-0.016;0.902;
19.10.2015 10:03:21.049;-0.516;-0.016;0.902;
19.10.2015 10:03:22.049;-0.516;-0.016;0.902;
19.10.2015 10:03:23.049;-0.516;-0.016;0.902;
19.10.2015 10:03:24.049;-0.516;-0.016;0.902;
19.10.2015 10:03:25.049;-0.516;-0.016;0.902;
19.10.2015 10:03:26.049;-0.484;-0.016;0.902;
19.10.2015 10:03:27.049;-0.516;-0.016;0.902;
19.10.2015 10:03:28.049;-0.516;-0.016;0.869;
19.10.2015 10:03:29.049;-0.516;-0.016;0.869;
19.10.2015 10:03:30.049;-0.516;-0.016;0.902;
19.10.2015 10:03:31.049;-0.516;-0.016;0.902;
19.10.2015 10:03:32.049;-0.516;-0.016;0.902;
19.10.2015 10:03:33.049;-0.516;-0.016;0.902;
19.10.2015 10:03:34.049;-0.516;-0.016;0.869;
19.10.2015 10:03:35.049;-0.516;-0.016;0.869;
19.10.2015 10:03:36.049;-0.516;-0.016;0.934;
19.10.2015 10:03:37.049;-0.516;-0.016;0.902;
19.10.2015 10:03:38.049;-0.516;-0.016;0.869;
19.10.2015 10:03:39.049;-0.484;-0.016;0.902;
19.10.2015 10:03:40.049;-0.516;-0.016;0.902;
19.10.2015 10:03:41.049;-0.516;-0.016;0.902;
19.10.2015 10:03:42.049;-0.516;-0.016;0.934;
19.10.2015 10:03:43.049;-0.484;-0.016;0.934;
19.10.2015 10:03:44.049;-0.516;-0.016;0.902;
19.10.2015 10:03:45.049;-0.516;-0.016;0.902;
19.10.2015 10:03:46.049;-0.516;-0.016;0.869;
19.10.2015 10:03:47.049;-0.516;-0.016;0.869;
19.10.2015 10:03:48.049;-0.516;-0.016;0.902;
19.10.2015 10:03:49.049;-0.484;-0.016;0.869;
19.10.2015 10:03:50.049;-0.516;-0.016;0.902;
19.10.2015 10:03:51.049;-0.516;-0.016;0.902;
19.10.2015 10:03:52.049;-0.516;-0.016;0.902;
19.10.2015 10:03:53.049;-0.516;-0.016;0.869;
19.10.2015 10:03:54.049;-0.516;-0.016;0.869;
19.10.2015 10:03:55.049;-0.516;-0.016;0.902;
19.10.2015 10:03:56.049;-0.516;-0.016;0.869;
19.10.2015 10:03:57.049;-0.516;-0.016;0.902;
19.10.2015 10:03:58.049;-0.516;-0.048;0.869;
19.10.2015 10:03:59.049;-0.516;-0.016;0.902;
19.10.2015 10:04:00.049;-0.516;-0.016;0.902;
19.10.2015 10:04:01.049;-0.516;-0.016;0.869;
19.10.2015 10:04:02.049;-0.516;-0.016;0.902;
19.10.2015 10:04:03.049;-0.516;-0.016;0.902;
19.10.2015 10:04:04.049;-0.516;-0.016;0.902;
19.10.2015 10:04:05.049;-0.516;-0.016;0.869;
19.10.2015 10:04:06.049;-0.516;-0.016;0.902;
19.10.2015 10:04:07.049;-0.516;-0.016;0.902;
19.10.2015 10:04:08.049;-0.516;-0.016;0.869;
19.10.2015 10:04:09.049;-0.516;-0.016;0.902;
19.10.2015 10:04:10.049;-0.516;-0.016;0.902;
19.10.2015 10:04:11.049;-0.516;-0.016;0.902;
19.10.2015 10:04:12.049;-0.516;-0.016;0.902;
19.10.2015 10:04:13.049;-0.516;-0.016;0.902;
19.10.2015 10:04:14.049;-0.516;-0.016;0.902;
19.10.2015 10:04:15.049;-0.516;-0.016;0.902;
19.10.2015 10:04:16.049;-0.516;-0.016;0.902;
19.10.2015 10:04:17.049;-0.516;-0.016;0.869;
19.10.2015 10:04:18.049;-0.516;-0.016;0.902;
19.10.2015 10:04:19.049;-0.516;-0.016;0.869;
19.10.2015 10:04:20.049;-0.516;-0.016;0.902;
19.10.2015 10:04:21.049;-0.516;-0.016;0.902;
19.10.2015 10:04:22.049;-0.516;-0.016;0.902;
19.10.2015 10:04:23.049;-0.516;-0.016;0.902;
19.10.2015 10:04:24.049;-0.516;-0.016;0.934;
19.10.2015 10:04:25.049;-0.516;-0.016;0.869;
19.10.2015 10:04:26.049;-0.484;-0.016;0.902;
19.10.2015 10:04:27.049;-0.516;-0.016;0.902;
19.10.2015 10:04:28.049;-0.516;-0.016;0.902;
19.10.2015 10:04:29.049;-0.516;-0.016;0.902;
19.10.2015 10:04:30.049;-0.516;-0.016;0.902;
19.10.2015 10:04:31.049;-0.516;-0.016;0.902;
19.10.2015 10:04:32.049;-0.516;-0.016;0.869;
19.10.2015 10:04:33.049;-0.516;-0.016;0.902;
19.10.2015 10:04:34.049;-0.516;-0.016;0.934;
19.10.2015 10:04:35.049;-0.516;-0.016;0.869;
19.10.2015 10:04:36.049;-0.484;-0.016;0.902;
19.10.2015 10:04:37.049;-0.516;-0.016;0.902;
19.10.2015 10:04:38.049;-0.516;-0.016;0.902;
19.10.2015 10:04:39.049;-0.516;-0.016;0.902;
19.10.2015 10:04:40.049;-0.516;-0.016;0.902;
19.10.2015 10:04:41.049;-0.516;-0.016;0.902;
19.10.2015 10:04:42.049;-0.516;-0.016;0.902;
19.10.2015 10:04:43.049;-0.516;-0.016;0.902;
19.10.2015 10:04:44.049;-0.516;-0.016;0.902;
19.10.2015 10:04:45.049;-0.516;-0.016;0.869;
19.10.2015 10:04:46.049;-0.516;-0.016;0.869;
19.10.2015 10:04:47.049;-0.516;-0.016;0.902;
19.10.2015 10:04:48.049;-0.516;-0.016;0.902;
19.10.2015 10:04:49.049;-0.516;-0.048;0.934;
19.10.2015 10:04:50.049;-0.548;-0.016;0.902;
19.10.2015 10:04:51.049;-0.516;-0.016;0.902;
19.10.2015 10:04:52.049;-0.516;-0.016;0.869;
19.10.2015 10:04:53.049;-0.516;-0.016;0.902;
19.10.2015 10:04:54.049;-0.516;-0.016;0.902;
19.10.2015 10:04:55.049;-0.516;-0.016;0.869;
19.10.2015 10:04:56.049;-0.516;0.016;0.869;
19.10.2015 10:04:57.049;-0.516;-0.016;0.902;
19.10.2015 10:04:58.049;-0.516;-0.016;0.902;
19.10.2015 10:04:59.049;-0.516;-0.016;0.869;
19.10.2015 10:05:00.049;-0.484;-0.016;0.869;3.85
19.10.2015 10:05:01.049;-0.516;-0.016;0.902;
19.10.2015 10:05:02.049;-0.516;-0.016;0.902;
19.10.2015 10:05:03.049;-0.516;-0.016;0.869;
19.10.2015 10:05:04.049;-0.516;-0.048;0.902;
19.10.2015 10:05:05.049;-0.516;-0.016;0.902;
19.10.2015 10:05:06.049;-0.516;-0.016;0.902;
19.10.2015 10:05:07.049;-0.516;-0.016;0.869;
19.10.2015 10:05:08.049;-0.516;-0.016;0.902;
19.10.2015 10:05:09.049;-0.516;-0.016;0.902;
19.10.2015 10:05:10.049;-0.516;-0.016;0.869;
19.10.2015 10:05:11.049;-0.516;-0.016;0.869;
19.10.2015 10:05:12.049;-0.516;-0.016;0.902;
19.10.2015 10:05:13.049;-0.516;-0.016;0.902;
19.10.2015 10:05:14.049;-0.516;-0.016;0.869;
19.10.2015 10:05:15.049;-0.484;-0.016;0.902;
19.10.2015 10:05:16.049;-0.516;0.016;0.902;
19.10.2015 10:05:17.049;-0.516;-0.016;0.902;
19.10.2015 10:05:18.049;-0.516;-0.016;0.902;
19.10.2015 10:05:19.049;-0.516;-0.016;0.869;
19.10.2015 10:05:20.049;-0.516;-0.016;0.869;
19.10.2015 10:05:21.049;-0.516;-0.016;0.902;
19.10.2015 10:05:22.049;-0.516;-0.016;0.902;
